Port,Service,Banner
25,SMTP,421 4.2.1 please try again later
89,SU/MIT Telnet Gateway,
80,HTTP,
183,Unknown Service,
389,Unknown Service,
385,Unknown Service,
390,Unknown Service,
377,Unknown Service,
370,Unknown Service,
392,Unknown Service,
394,Unknown Service,
374,Unknown Service,
372,Unknown Service,
375,Unknown Service,
382,Unknown Service,
386,Unknown Service,
388,Unknown Service,
381,Unknown Service,
378,Unknown Service,
366,Unknown Service,
376,Unknown Service,
379,SIA,
371,Unknown Service,
383,Unknown Service,
373,Unknown Service,
393,Unknown Service,
395,Unknown Service,
396,Unknown Service,
391,Unknown Service,
367,Unknown Service,
443,HTTPS,
581,Unknown Service,
572,Unknown Service,
583,Unknown Service,
579,Unknown Service,
585,Unknown Service,
573,Unknown Service,
576,Unknown Service,
588,Unknown Service,
590,Unknown Service,
577,Unknown Service,
575,Unknown Service,
584,Unknown Service,
586,Unknown Service,
587,Unknown Service,
589,Unknown Service,
591,Unknown Service,
